id,result
1,0
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,1
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,0
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,0
154,1
155,0
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,1
195,0
196,1
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,0
